time,Computers,Copper,Glass,Oil,Plastic,Rubber,Rupyulars,Steel,Vehicles,Weapons
1587470410,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470470,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470530,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470591,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470651,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470711,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470771,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470831,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470891,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587470951,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471012,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471072,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471132,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471192,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471252,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471312,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471373,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471433,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471493,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471553,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471613,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471673,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471734,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471794,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471854,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471914,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587471974,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472034,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472094,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472155,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472215,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472275,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472335,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472395,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472455,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472516,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472576,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472636,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472696,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472756,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472816,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472876,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472937,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587472997,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473057,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473117,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473177,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473237,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473298,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473358,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473418,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473478,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473538,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473598,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473659,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587473719,50.0,5.0,5.0,5.0,5.0,5.0,1,1.0,50.0,50.0
1587473779,50.0,5.0,5.0,5.0,5.0,5.0,1,1.0,50.0,50.0
1587473839,50.0,5.0,5.0,5.0,5.0,5.0,1,1.0,50.0,50.0
1587473899,50.0,5.0,5.0,5.0,5.0,5.0,1,1.0,50.0,50.0
1587473959,50.0,5.0,5.0,5.0,5.0,5.0,1,1.0,50.0,50.0
1587474020,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474080,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474140,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474200,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474260,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474320,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474381,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474441,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474501,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474561,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474621,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474681,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474741,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474802,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474862,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474922,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587474982,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475042,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475102,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475162,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475223,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475283,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475343,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475403,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475463,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475523,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475584,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475644,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
1587475704,51.71474,5.01945,5.09502,5.40008,5.45236,5.0106,1,1.4622,51.13902,49.77906
